,timestamp,open,high,low,close,volume
612,2023-01-05 18:00:00,379.68,379.85,379.64,379.77,30357
611,2023-01-05 18:30:00,379.85,380.0,379.7,379.9,85393
610,2023-01-05 19:00:00,379.95,380.2,379.38,380.0,265802
609,2023-01-05 19:30:00,380.0,380.25,380.0,380.23,18455
608,2023-01-05 20:00:00,380.25,380.38,380.18,380.34,23765
607,2023-01-06 04:30:00,380.0,380.0,379.18,379.25,24200
606,2023-01-06 05:00:00,379.2,379.49,378.99,379.48,18029
605,2023-01-06 05:30:00,379.38,379.92,379.17,379.52,8836
604,2023-01-06 06:00:00,379.62,379.93,379.38,379.38,15040
603,2023-01-06 06:30:00,379.38,380.04,379.31,379.7,63913
602,2023-01-06 07:00:00,379.85,379.85,379.3,379.66,14285
601,2023-01-06 07:30:00,379.55,379.66,379.26,379.47,118875
600,2023-01-06 08:00:00,379.55,379.62,379.13,379.44,133990
599,2023-01-06 08:30:00,379.43,380.89,378.43,379.0,267885
598,2023-01-06 09:00:00,379.0,384.04,378.49,383.73,3162735
597,2023-01-06 09:30:00,383.77,383.89,382.2,382.6,872900
596,2023-01-06 10:00:00,382.61,383.96,379.45,380.737,8883641
595,2023-01-06 10:30:00,380.76,383.94,380.75,382.93,8603569
594,2023-01-06 11:00:00,382.93,385.57,379.4127,385.27,10605979
593,2023-01-06 11:30:00,385.3,386.11,385.0801,385.34,6442508
592,2023-01-06 12:00:00,385.35,386.72,385.0,386.26,4840079
591,2023-01-06 12:30:00,386.26,386.51,385.38,385.5711,3610489
590,2023-01-06 13:00:00,385.59,385.8699,385.06,385.46,2885514
589,2023-01-06 13:30:00,385.45,386.2301,385.215,386.13,2779933
588,2023-01-06 14:00:00,386.1379,386.85,386.1035,386.72,3181556
587,2023-01-06 14:30:00,386.72,388.14,386.72,387.75,6634166
586,2023-01-06 15:00:00,387.75,388.79,387.715,388.52,5174602
585,2023-01-06 15:30:00,388.51,389.25,388.265,388.37,5644167
584,2023-01-06 16:00:00,388.375,389.07,387.73,388.03,16845539
583,2023-01-06 16:30:00,388.04,390.0,387.58,387.85,8249486
582,2023-01-06 17:00:00,387.81,388.08,387.76,387.78,1135736
581,2023-01-06 17:30:00,387.79,388.0,387.75,387.81,130477
580,2023-01-06 18:00:00,387.85,387.89,387.6,387.83,95241
579,2023-01-06 18:30:00,387.83,387.88,387.81,387.86,49274
578,2023-01-06 19:00:00,387.81,387.85,387.75,387.78,27979
577,2023-01-06 19:30:00,387.79,387.83,386.38,387.7,65205
576,2023-01-06 20:00:00,387.62,387.68,387.51,387.58,16524
575,2023-01-09 04:30:00,388.37,389.55,388.37,389.32,20437
574,2023-01-09 05:00:00,389.34,389.8,389.29,389.4,24799
573,2023-01-09 05:30:00,389.35,389.9,389.31,389.72,24965
572,2023-01-09 06:00:00,389.74,389.74,389.39,389.68,11692
571,2023-01-09 06:30:00,389.65,389.8,389.28,389.4,15552
570,2023-01-09 07:00:00,389.32,389.5,389.22,389.31,12332
569,2023-01-09 07:30:00,389.3,389.73,389.3,389.52,150988
568,2023-01-09 08:00:00,389.57,390.05,389.54,389.65,168776
567,2023-01-09 08:30:00,389.5,390.05,388.5,389.969,315048
566,2023-01-09 09:00:00,389.95,390.29,389.6,389.66,174577
565,2023-01-09 09:30:00,389.67,390.53,389.58,390.37,357027
564,2023-01-09 10:00:00,390.37,391.67,389.35,391.6,7050502
563,2023-01-09 10:30:00,391.62,392.16,391.21,391.419,4752816
562,2023-01-09 11:00:00,391.4201,393.25,391.42,392.6,4989428
561,2023-01-09 11:30:00,392.6,393.7,392.6,393.52,3425485
560,2023-01-09 12:00:00,393.525,393.638,392.82,393.38,3801006
559,2023-01-09 12:30:00,393.38,393.38,392.43,392.91,2696775
558,2023-01-09 13:00:00,392.91,392.97,391.86,392.32,3582792
557,2023-01-09 13:30:00,392.325,392.47,391.51,392.0,3111860
556,2023-01-09 14:00:00,391.995,392.04,389.87,390.485,5538646
555,2023-01-09 14:30:00,390.49,391.12,389.9,390.56,4701682
554,2023-01-09 15:00:00,390.565,390.74,388.76,388.95,3549074
553,2023-01-09 15:30:00,388.9495,389.22,388.19,388.3599,6046815
552,2023-01-09 16:00:00,388.36,388.55,387.67,387.8657,11053589
551,2023-01-09 16:30:00,387.88,387.95,387.51,387.74,6531550
550,2023-01-09 17:00:00,387.86,387.86,387.6,387.79,291544
549,2023-01-09 17:30:00,387.82,387.94,387.6,387.75,84771
548,2023-01-09 18:00:00,387.75,387.86,387.66,387.81,28631
547,2023-01-09 18:30:00,387.83,387.92,387.67,387.78,50961
546,2023-01-09 19:00:00,387.74,387.8,387.38,387.54,22944
545,2023-01-09 19:30:00,387.6,387.66,386.8,386.95,50950
544,2023-01-09 20:00:00,386.92,387.21,386.91,387.15,79329
543,2023-01-10 04:30:00,387.86,387.86,386.91,387.33,21860
542,2023-01-10 05:00:00,387.28,387.73,387.28,387.67,28724
541,2023-01-10 05:30:00,387.82,387.83,387.4,387.62,9702
540,2023-01-10 06:00:00,387.76,387.95,387.63,387.63,15405
539,2023-01-10 06:30:00,387.63,387.63,386.9,387.09,22463
538,2023-01-10 07:00:00,387.1,387.1,386.5,386.76,96801
537,2023-01-10 07:30:00,386.71,386.75,385.81,386.29,360868
536,2023-01-10 08:00:00,386.28,386.31,385.74,386.28,141088
535,2023-01-10 08:30:00,386.25,387.7396,385.79,385.79,364456
534,2023-01-10 09:00:00,385.79,386.65,385.75,386.6,212353
533,2023-01-10 09:30:00,386.6,387.75,386.3,387.26,846260
532,2023-01-10 10:00:00,387.25,389.23,387.02,388.45,6199807
531,2023-01-10 10:30:00,388.46,389.99,387.84,388.255,5340632
530,2023-01-10 11:00:00,388.26,388.58,386.27,388.3701,5006056
529,2023-01-10 11:30:00,388.39,388.8,387.81,388.009,2984729
528,2023-01-10 12:00:00,387.98,388.41,387.35,388.12,2691383
527,2023-01-10 12:30:00,388.12,388.67,387.19,388.07,2741257
526,2023-01-10 13:00:00,388.04,389.1896,387.96,388.78,2604291
525,2023-01-10 13:30:00,388.78,389.39,388.53,388.93,2406326
524,2023-01-10 14:00:00,388.935,389.6101,388.81,389.52,2793758
523,2023-01-10 14:30:00,389.57,390.13,389.38,389.905,3204351
522,2023-01-10 15:00:00,389.91,390.22,389.24,389.49,2718060
521,2023-01-10 15:30:00,389.485,389.8,388.76,389.5,3796799
520,2023-01-10 16:00:00,389.5,390.65,389.29,390.63,9941037
519,2023-01-10 16:30:00,390.64,390.82,390.37,390.549,6451217
518,2023-01-10 17:00:00,390.52,390.7,390.5,390.62,609162
517,2023-01-10 17:30:00,390.69,390.69,390.53,390.54,125593
516,2023-01-10 18:00:00,390.54,390.72,390.54,390.65,41321
515,2023-01-10 18:30:00,390.65,390.69,390.37,390.63,76372
514,2023-01-10 19:00:00,390.6,390.77,390.48,390.7,26686
513,2023-01-10 19:30:00,390.75,391.15,390.73,390.9,110997
512,2023-01-10 20:00:00,390.93,391.07,390.79,391.07,99257
511,2023-01-11 04:30:00,390.45,391.6,390.36,391.59,15538
510,2023-01-11 05:00:00,391.49,391.49,391.24,391.3,12878
509,2023-01-11 05:30:00,391.42,391.94,391.4,391.53,19677
508,2023-01-11 06:00:00,391.55,391.55,391.1,391.3,15224
507,2023-01-11 06:30:00,391.28,391.37,391.1,391.26,6725
506,2023-01-11 07:00:00,391.34,391.75,391.2,391.38,35874
505,2023-01-11 07:30:00,391.43,391.5,390.77,391.08,130716
504,2023-01-11 08:00:00,391.06,391.56,391.06,391.4,99845
503,2023-01-11 08:30:00,391.32,392.1,390.2,391.85,217087
502,2023-01-11 09:00:00,391.91,392.25,391.49,392.16,314099
501,2023-01-11 09:30:00,392.19,392.51,391.75,392.23,356765
500,2023-01-11 10:00:00,392.23,393.1594,391.8,392.31,6046236
499,2023-01-11 10:30:00,392.31,393.08,392.035,393.04,3783344
498,2023-01-11 11:00:00,393.05,393.06,391.38,391.5801,4183261
497,2023-01-11 11:30:00,391.595,392.74,391.514,392.61,3914348
